No,공고,사명,장소,참조
159,[(주)아이젝스] Mac Agent 파이썬 개발자 채용 공고,㈜아이젝스,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/45324607?Oem_Code=C1&logpath=1&stext=파이썬&listno=9
160,(병점역) 자바/파이썬/RPA  SW개발 강사 채용,(주)글로벌아카데미,경기 화성시,https://www.jobkorea.co.kr/Recruit/GI_Read/45442711?Oem_Code=C1&logpath=1&stext=파이썬&listno=10
161,[계약직원] 파이썬 시스템 개발 모집 공고 [9월-연말],㈜피엠에스,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/45434490?Oem_Code=C1&logpath=1&stext=파이썬&listno=11
162,"[방배] 통신사 파이썬 업무 운영(Python/초급,중급)",이수정보㈜,서울 중랑구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45428432?Oem_Code=C1&logpath=1&stext=파이썬&listno=12
163,자바 / 파이썬 국기과정 훈련교사 모집,㈜우리인재개발원,경기 부천시,https://www.jobkorea.co.kr/Recruit/GI_Read/45414250?Oem_Code=C1&logpath=1&stext=파이썬&listno=13
164,프론트개발 / 파이썬 국기과정 훈련교사 모집,㈜우리인재개발원,경기 부천시,https://www.jobkorea.co.kr/Recruit/GI_Read/45414168?Oem_Code=C1&logpath=1&stext=파이썬&listno=14
165,파이썬 (Python) 개발 경력자 모집,㈜테드,서울 강서구,https://www.jobkorea.co.kr/Recruit/GI_Read/45411109?Oem_Code=C1&logpath=1&stext=파이썬&listno=15
166,"[이젠아카데미 인천]K-디지털,자바,파이썬,정보처리산업기사 강의 훈련교사 채용",이젠아카데미컴퓨터학원,인천 남동구,https://www.jobkorea.co.kr/Recruit/GI_Read/45405738?Oem_Code=C1&logpath=1&stext=파이썬&listno=16
167,"자바 풀스택, 파이썬/데이터분석 국비훈련 강사 모집",(주)제이엠피코리아,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45401459?Oem_Code=C1&logpath=1&stext=파이썬&listno=17
168,"직업훈련 [ITQ, 컴기초, 파이썬] 훈련교사 채용",동작여성인력개발센터,서울 동작구,https://www.jobkorea.co.kr/Recruit/GI_Read/45378817?Oem_Code=C1&logpath=1&stext=파이썬&listno=18
169,"(EZEN) 일산캠퍼스 -  풀스택 JAVA,파이썬. 강사님 모십니다",이젠컴퓨터학원,경기 고양시,https://www.jobkorea.co.kr/Recruit/GI_Read/45353178?Oem_Code=C1&logpath=1&stext=파이썬&listno=19
170,[(주)뷰브레인헬스케어] 파이썬 풀스택 개발자 채용,㈜뷰브레인헬스케어,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45349625?Oem_Code=C1&logpath=1&stext=파이썬&listno=20
171,관리팀 관리 인원  채용,㈜메디앱솔,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45231434?Oem_Code=C1&logpath=1
172,[nest hotel] 조리 신입 및 경력 파트너 채용,네스트,인천,https://www.jobkorea.co.kr/Recruit/GI_Read/45355480?Oem_Code=C1&logpath=1
173,㈜릴팡 수출입관리(일본어) / 국내&해외 영업 (영어) / 온라인 MD / 경영지원팀 모집,㈜릴팡,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45356912?Oem_Code=C1&logpath=1
174,"[경력] 배차/전산입력, 오더관리, 거래처관리",㈜트랜스물류,인천,https://www.jobkorea.co.kr/Recruit/GI_Read/45380060?Oem_Code=C1&logpath=1
175,2024 한국시험인증원 소프트웨어 / 사이버보안 테스트 엔지니어 신입ㆍ경력 공개채용,한국시험인증원,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45246048?Oem_Code=C1&logpath=1
176,2024년 사무직 신입사원 채용,원빌딩부동산중개㈜,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45333092?Oem_Code=C1&logpath=1
177,"㈜YS생명과학 제조팀, 기술지원팀 채용",㈜와이에스생명과학,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/44826876?Oem_Code=C1&logpath=1
178,[월300-400가능] 기구설계/전장제어 직원 채용,(주)씨에이치티,충남 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45374690?Oem_Code=C1&logpath=1
179,대방건설 경력직 채용,대방건설,서울 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45376917?Oem_Code=C1&logpath=1
180,"(주)아비즈 굿즈, 인쇄 홍보물 편집디자인 신입/경력사원모집",㈜아비즈,경기 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45375948?Oem_Code=C1&logpath=1
181,파이썬 개발자 채용,㈜유클리드소프트,대전 서구,https://www.jobkorea.co.kr/Recruit/GI_Read/45332942?Oem_Code=C1&logpath=1&stext=파이썬&listno=21
182,"[더조은컴퓨터 구로] 자바, 파이썬, 플러터, SQLD자격증 강사 채용",더조은컴퓨터학원,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45324601?Oem_Code=C1&logpath=1&stext=파이썬&listno=22
183,"빅데이터, 머신러닝, 파이썬 개발자",㈜에이치앤엘시스템,서울 중구,https://www.jobkorea.co.kr/Recruit/GI_Read/45310080?Oem_Code=C1&logpath=1&stext=파이썬&listno=23
184,웹개발자 (Python/Django 백엔드)  글로벌 빅데이터 마케팅 플랫폼(경력),㈜에이든랩,서울 마포구,https://www.jobkorea.co.kr/Recruit/GI_Read/45265798?Oem_Code=C1&logpath=1&stext=파이썬&listno=24
185,파이썬 개발자 과정 강사 채용,㈜세종교육,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45247671?Oem_Code=C1&logpath=1&stext=파이썬&listno=25
186,"[더조은컴퓨터 구로캠퍼스] 빅데이터(파이썬), AI(머신러닝,딥러닝) 강사 채용",더조은컴퓨터학원,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45229811?Oem_Code=C1&logpath=1&stext=파이썬&listno=26
187,파이썬 Python 프로그램 개발자 모집,충북대학교병원,충북 청주시,https://www.jobkorea.co.kr/Recruit/GI_Read/45227366?Oem_Code=C1&logpath=1&stext=파이썬&listno=27
188,파이썬 개발자,㈜모아데이타,인천 서구,https://www.jobkorea.co.kr/Recruit/GI_Read/45216559?Oem_Code=C1&logpath=1&stext=파이썬&listno=28
189,[외국계 IT 대기업 A사] 풀스택 개발자 (Python) 채용,퍼솔켈리코리아 유한회사,서울 강남구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45154182?Oem_Code=C1&logpath=1&stext=파이썬&listno=29
190,(빅데이터/AI/파이썬/자바/C#/PLC/유니티) 멘토(훈련보조강사) 채용,㈜코드랩이앤티,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/45032702?Oem_Code=C1&logpath=1&stext=파이썬&listno=30
191,파이썬(Python) 백엔드 개발자 모십니다,㈜케이엘피,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45438194?Oem_Code=C1&logpath=1&stext=파이썬&listno=31
192,파이썬(Python) 프로그램 개발자 모십니다,㈜케이엘피,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45438177?Oem_Code=C1&logpath=1&stext=파이썬&listno=32
193,전액무료 IT취업교육[훈련수당 지급]Java자바/백엔드/프론트엔드/풀스택/클라우드/빅데이터/인공지능AI/파이썬/국비지원과정,중앙정보기술인재개발원 중앙정보처리학원,서울 마포구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45437808?Oem_Code=C1&logpath=1&stext=파이썬&listno=33
194,"C#, 파이썬 개발자 모집",㈜에스에이치엘에이비,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45357140?Oem_Code=C1&logpath=1&stext=파이썬&listno=34
195,[전액무료국비취업프로그램] 자바/파이썬/개발자/정보보안/클라우드/엔지니어/인공지능/AI/AWS/GCP/웹개발/백엔드/프론트엔드/풀스택/데브옵스/DevSecOps/java/python/코딩/it 내일배움카드 K디지털 국민취업지원제도 교육,(it)개발자클라우드(ai)인공지능빅데이터국비지원학원,서울 종로구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45323838?Oem_Code=C1&logpath=1&stext=파이썬&listno=35
196,[국비무료/채용연계] 빅데이터 응용 JAVA프로그래밍 개발자 양성과정,㈔한국산업기술협회,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/45419080?Oem_Code=C1&logpath=1&stext=파이썬&listno=36
197,AWS Managed Service (Enterprise Cloud Engineer) 채용,메가존클라우드㈜,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45365047?Oem_Code=C1&logpath=1&stext=파이썬&listno=37
198,AI(인공지능) S/W개발 경력 및 신입 사원채용,㈜와이티에스,경기 안산시,https://www.jobkorea.co.kr/Recruit/GI_Read/45429464?Oem_Code=C1&logpath=1&stext=파이썬&listno=38
199,[브이엠에스솔루션스] 2024년 각부문별 채용,브이엠에스솔루션스,경기 용인시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45303317?Oem_Code=C1&logpath=1&stext=파이썬&listno=39
200,[프라시아 전기] 테크니컬 아티스트,㈜넥슨,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45201719?Oem_Code=C1&logpath=1&stext=파이썬&listno=40
201,관리팀 관리 인원  채용,㈜메디앱솔,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45231434?Oem_Code=C1&logpath=1
202,"유튜브 라이브방송PD, 영상편집자 채용",㈜퍼플아카데미,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45211930?Oem_Code=C1&logpath=1
203,"㈜이현어패럴 BEEN,BLUETAIL,SWITCH123 디자이너,VMD,MD 신입 또는 경력 채용",㈜이현어패럴,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45348135?Oem_Code=C1&logpath=1
204,[대원미디어] 애니메이트 매장 사원 채용,대원미디어,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45341769?Oem_Code=C1&logpath=1
205,"[경력] 배차/전산입력, 오더관리, 거래처관리",㈜트랜스물류,인천,https://www.jobkorea.co.kr/Recruit/GI_Read/45380060?Oem_Code=C1&logpath=1
206,슬코 생산물류직원 모집,슬코,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45052139?Oem_Code=C1&logpath=1
207,탐앤탐스 브랜딩사업본부 신입 · 경력직 채용(콘텐츠·제휴마케팅 부문),㈜탐앤탐스,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45068025?Oem_Code=C1&logpath=1
208,[주 3일 원격근무] 비상교육 전체직무 상시채용,㈜비상교육,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45044716?Oem_Code=C1&logpath=1
209,"[국비지원, 취업연계] 로봇, MES, 펌웨어 교육생 모집",대한상공회의소 충남인력개발원,충남 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45381150?Oem_Code=C1&logpath=1
210,2024 하반기 (주거)설계부 경력직/ 공사부 (주거공사) 채용,㈜아베크디자인,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45361648?Oem_Code=C1&logpath=1
211,[기술본부] IT지원실 소스 저장소 및 배포 담당자,㈜넥슨,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45183476?Oem_Code=C1&logpath=1&stext=파이썬&listno=41
212,[외국계/용산/정규직] Vehicle Network Software Engineer (차량통신 소프트웨어 엔지니어),㈜벡터코리아 (Vector Korea),서울 용산구,https://www.jobkorea.co.kr/Recruit/GI_Read/45124453?Oem_Code=C1&logpath=1&stext=파이썬&listno=42
213,[ Craver ] 글로벌 뷰티 화장품 브랜드 SKIN1004 그로스팀(마케팅&데이터) 경력직 채용,㈜크레이버코퍼레이션,서울 강남구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45286465?Oem_Code=C1&logpath=1&stext=파이썬&listno=43
214,[머니쿤] 앱테크/체험단 서비스 기획자 채용 (경력),핫셀러,서울 동대문구,https://www.jobkorea.co.kr/Recruit/GI_Read/45284990?Oem_Code=C1&logpath=1&stext=파이썬&listno=44
215,[머니쿤] 앱테크/체험단 프론트엔드 개발자 채용 (React/React Native),핫셀러,서울 동대문구,https://www.jobkorea.co.kr/Recruit/GI_Read/45284983?Oem_Code=C1&logpath=1&stext=파이썬&listno=45
216,2024 지니언스 인재 채용,지니언스(주),경기 안양시,https://www.jobkorea.co.kr/Recruit/GI_Read/45043614?Oem_Code=C1&logpath=1&stext=파이썬&listno=46
217,[AInation] 인공지능 백엔드(Back-End) 개발자 모집 (경력),㈜에이아이네이션,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45426497?Oem_Code=C1&logpath=1&stext=파이썬&listno=47
218,(주)윕스 웹 프론트엔드/백엔드 개발자 모집 (경력),㈜윕스,서울 마포구,https://www.jobkorea.co.kr/Recruit/GI_Read/45410886?Oem_Code=C1&logpath=1&stext=파이썬&listno=48
219,소프트웨어개발 업무 담당자 모집,㈜하나플랫폼,서울 강서구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45444733?Oem_Code=C1&logpath=1&stext=파이썬&listno=49
220,"백엔드 풀스택 웹개발자 부트캠프( 풀스택,백엔드,AI 챗봇,국비지원무료교육)",㈜이젠아카데미,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45418473?Oem_Code=C1&logpath=1&stext=파이썬&listno=50
221,"총무, IT 파트 담당자 모집",㈜라이온코리아,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/45439544?Oem_Code=C1&logpath=1&stext=파이썬&listno=51
222,"금융,공공,일반기업 운영개발[SM,SI]",아이비티에스㈜,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45214585?Oem_Code=C1&logpath=1&stext=파이썬&listno=52
223,"[주식회사 와보텍] 자동차관련 DB 분석 및  빅데이터  관리, 분석 연구원 채용 모집",㈜와보텍,서울 송파구,https://www.jobkorea.co.kr/Recruit/GI_Read/45421249?Oem_Code=C1&logpath=1&stext=파이썬&listno=53
224,"[데이트코스 1위 앱 데이트팝] 부산 로컬매니저(영업,신입가능)",주식회사 텐핑거스,부산 동구,https://www.jobkorea.co.kr/Recruit/GI_Read/45414668?Oem_Code=C1&logpath=1&stext=파이썬&listno=54
225,[콴텍투자일임] 로보어드바이저 개발 솔루션 담당자 모집,콴텍투자일임㈜,서울 영등포구,https://www.jobkorea.co.kr/Recruit/GI_Read/45413065?Oem_Code=C1&logpath=1&stext=파이썬&listno=55
226,그린컴퓨터아트학원 신도림지점에서 직종별 교강사 모집합니다.,지아이티아카데미신도림역,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45401744?Oem_Code=C1&logpath=1&stext=파이썬&listno=56
227,AI 연구원 및 개발자 모집,㈜델타엑스,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45392162?Oem_Code=C1&logpath=1&stext=파이썬&listno=57
228,"[자율출근]개발자 파격대우 경력자 typescript, nodejs, MySQL",㈜오너클랜,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45390040?Oem_Code=C1&logpath=1&stext=파이썬&listno=58
229,[신입] 클라우드(Cloud) 영업 담당자 모집,㈜콘텐츠브릿지,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45389562?Oem_Code=C1&logpath=1&stext=파이썬&listno=59
230,[도서출판 예문사] IT/컴퓨터/프로그래밍언어 분야 수험서 기획자 채용,㈜예문아카이브,서울 마포구,https://www.jobkorea.co.kr/Recruit/GI_Read/45385175?Oem_Code=C1&logpath=1&stext=파이썬&listno=60
231,[PCB대기업/매주가불] 월400만이상/ 상여300프로 / 정착지원금60만 / 기숙사무료제공 / 통근버스,주식회사 씨앤테크놀러지,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45331722?Oem_Code=C1&logpath=1
232,㈜릴팡 수출입관리(일본어) / 국내&해외 영업 (영어) / 온라인 MD / 경영지원팀 모집,㈜릴팡,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45356912?Oem_Code=C1&logpath=1
233,[포토그레이] 광주지역 슈퍼바이저(SV) 신입 및 경력 채용,㈜에이피알커뮤니케이션즈,광주 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45255149?Oem_Code=C1&logpath=1
234,[㈜씨앤디마이크로] 무역부 정규직 채용,㈜씨앤디마이크로,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45375088?Oem_Code=C1&logpath=1
235,[LG계열사] 급여 및 복리후생 담당자 모집 (양천향교역 근무),㈜비즈테크온,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45306974?Oem_Code=C1&logpath=1
236,꾸준한 일자리 초보가능 단순생산 인천 생산직 대규모 사원모집,㈜한성컴퍼니,인천 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45373981?Oem_Code=C1&logpath=1
237,생산관리 신입 및 경력직 채용,우진일렉트로나이트㈜,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45344444?Oem_Code=C1&logpath=1
238,현대렌탈케어 계약사원 채용,주식회사 현대렌탈케어,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45356858?Oem_Code=C1&logpath=1
239,"[코인 유튜브 제작자] [ 업계최고연봉 /얼굴공개 X /리딩X /월 1,000 이상 가능 ][경력무관]",㈜대한파트너스,경기 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45031097?Oem_Code=C1&logpath=1
240,"2024년 CTR 그룹 신입/경력 채용 (설계, 품질관리, 생산관리, 생산기술, 총무, 설계-해석, 설비개선, 단조개발 PM,원소재관리, 안전관리, CNC개발, 영업, 시작관리 外)",㈜씨티알,경남,https://www.jobkorea.co.kr/Recruit/GI_Read/45101956?Oem_Code=C1&logpath=1
241,[원아이디랩] PHP개발 스킬을 품은 시스템운영 인재를 모십니다. (경력자우대),㈜원아이디랩,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45384930?Oem_Code=C1&logpath=1&stext=파이썬&listno=61
242,제조기업 기반 빅데이터 분석 실무 교육생 모집,한국기술사업화진흥협회,대구 달서구,https://www.jobkorea.co.kr/Recruit/GI_Read/45383439?Oem_Code=C1&logpath=1&stext=파이썬&listno=62
243,한국공인회계사회 사무직원 채용 공고,한국공인회계사회,서울 서대문구,https://www.jobkorea.co.kr/Recruit/GI_Read/45380345?Oem_Code=C1&logpath=1&stext=파이썬&listno=63
244,10년 전통의 우수교육기관에서 저녁반  유능하신 선생님을 모십니다.,엠비씨(MBC)아카데미 컴퓨터교육센터,서울 관악구,https://www.jobkorea.co.kr/Recruit/GI_Read/45378118?Oem_Code=C1&logpath=1&stext=파이썬&listno=64
245,하이미디어컴퓨터디자인학원(일산점) 과정별 강사 채용공고,㈜하이미디어컴퓨터디자인학원,경기 고양시,https://www.jobkorea.co.kr/Recruit/GI_Read/45375527?Oem_Code=C1&logpath=1&stext=파이썬&listno=65
246,인공지능 펌웨어 개발자 채용,㈜에스씨에스,세종 전지역,https://www.jobkorea.co.kr/Recruit/GI_Read/45373036?Oem_Code=C1&logpath=1&stext=파이썬&listno=66
247,천안 이젠아카데미컴퓨터학원 에서 새로운 강사진을 모집합니다.,이젠아카데미컴퓨터학원,충남 천안시,https://www.jobkorea.co.kr/Recruit/GI_Read/45371350?Oem_Code=C1&logpath=1&stext=파이썬&listno=67
248,컴퓨터방문교사 (투잡 가능) 채용,컴키드홈스쿨,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45288962?Oem_Code=C1&logpath=1&stext=파이썬&listno=68
249,포장119(주) 마케터 업무 담당자 모집합니다.,포장119㈜,서울 중구,https://www.jobkorea.co.kr/Recruit/GI_Read/45364283?Oem_Code=C1&logpath=1&stext=파이썬&listno=69
250,MacOS Application 개발자 (3년 이상) - 판교,㈜지란지교데이터,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45362114?Oem_Code=C1&logpath=1&stext=파이썬&listno=70
251,10444. JAVA 금융권개발 및 운영 - SI-SM,㈜베스티아소프트,인천 연수구,https://www.jobkorea.co.kr/Recruit/GI_Read/45344726?Oem_Code=C1&logpath=1&stext=파이썬&listno=71
252,"총무, IT 파트 담당자 모집",워드캣,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/45343533?Oem_Code=C1&logpath=1&stext=파이썬&listno=72
253,24년 하반기 시스템 연구개발 및 웹 / 응용 SW 개발,㈜유니스소프트,대전 대덕구,https://www.jobkorea.co.kr/Recruit/GI_Read/45337698?Oem_Code=C1&logpath=1&stext=파이썬&listno=73
254,데이터표준품질부문 경력채용 (정규직),㈜한국정보기술단,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45332769?Oem_Code=C1&logpath=1&stext=파이썬&listno=74
255,컴퓨터방문교사[투잡 가능] 채용,컴키드홈스쿨,서울 서초구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45316121?Oem_Code=C1&logpath=1&stext=파이썬&listno=75
256,"10443. JAVA, React.js 시스템운영 및 개발 -SI / SM",㈜베스티아소프트,인천 연수구,https://www.jobkorea.co.kr/Recruit/GI_Read/45313590?Oem_Code=C1&logpath=1&stext=파이썬&listno=76
257,클라우드 인프라 엔지니어 경력,㈜위키드스톰,서울 강서구,https://www.jobkorea.co.kr/Recruit/GI_Read/45312293?Oem_Code=C1&logpath=1&stext=파이썬&listno=77
258,[경력] 시스템 엔지니어(SE) 모집,㈜콘텐츠브릿지,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45313108?Oem_Code=C1&logpath=1&stext=파이썬&listno=78
259,[프라이빗테크놀로지] 시스템 엔지니어 팀장급 모집,프라이빗테크놀로지㈜,서울 마포구,https://www.jobkorea.co.kr/Recruit/GI_Read/45285455?Oem_Code=C1&logpath=1&stext=파이썬&listno=79
260,에듀테크 SW.AI 교육 콘텐츠 기획 및 개발자,메이킷올,경기 고양시,https://www.jobkorea.co.kr/Recruit/GI_Read/45276026?Oem_Code=C1&logpath=1&stext=파이썬&listno=80
261,"경기 쿠팡 퀵 플렉스 모바일캠프[초보가능,경력,학력,성별 무관][월평균550萬元]주간/야간 배송직원 채용공고",㈜신건,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45354209?Oem_Code=C1&logpath=1
262,[메르세데스 벤츠 / 주5일] 자동차 성능검사 및 관리 [기숙사 무료] [통근버스],피피에이치알,경기 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45313860?Oem_Code=C1&logpath=1
263,[kt ds] 2024년 각 부문별 경력사원 상시채용,㈜KT DS,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/44945803?Oem_Code=C1&logpath=1
264,로담건축(주) 인테리어  설계직 / 공무직 / 시공직 직원모집,로담건축㈜,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45295914?Oem_Code=C1&logpath=1
265,[젠틀몬스터] 비주얼 아트 디렉터 (신입/경력),㈜아이아이컴바인드,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45353139?Oem_Code=C1&logpath=1
266,2024년 대한제당 부문별 신입 및 경력 채용,대한제당㈜,서울 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45353430?Oem_Code=C1&logpath=1
267,데이터 분석 (Data Scientist) 채용,㈜에이브랩스,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45360429?Oem_Code=C1&logpath=1
268,[글로벌 유아브랜드] 마케팅 경력직 채용,㈜코엔코,서울 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45330897?Oem_Code=C1&logpath=1
269,[주 3일 원격근무] 비상교육 전체직무 상시채용,㈜비상교육,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45044716?Oem_Code=C1&logpath=1
270,"[재택 근무] 초등 영어강사 및 교수부장, 초등 영어 컨텐츠 전문가",토피아에듀케이션㈜,서울 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45267879?Oem_Code=C1&logpath=1
271,클라우드 인프라 엔지니어 경력직 채용,㈜위키드스톰,서울 강서구,https://www.jobkorea.co.kr/Recruit/GI_Read/45267098?Oem_Code=C1&logpath=1&stext=파이썬&listno=81
272,[신입] DB 엔지니어 모집,㈜콘텐츠브릿지,서울 양천구,https://www.jobkorea.co.kr/Recruit/GI_Read/45252459?Oem_Code=C1&logpath=1&stext=파이썬&listno=82
273,자율주행 AI 엔지니어 강사 채용 (재택/경력우대),㈜엘리스,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45247166?Oem_Code=C1&logpath=1&stext=파이썬&listno=83
274,센서 신호처리 알고리듬 및 AI 솔루션 개발자 모집,㈜길온,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45245515?Oem_Code=C1&logpath=1&stext=파이썬&listno=84
275,GUI 개발자,이지모션㈜,서울 서초구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45236273?Oem_Code=C1&logpath=1&stext=파이썬&listno=85
276,"JAVA 개발-금융,공공,일반기업 운영개발[SM,SI]",㈜앱메이드,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45214623?Oem_Code=C1&logpath=1&stext=파이썬&listno=86
277,"금융,공공,일반기업 운영개발[SM,SI]",㈜앱메이드,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45214597?Oem_Code=C1&logpath=1&stext=파이썬&listno=87
278,웹프로그래머및 응용프로그래머 모집,아이비티에스㈜,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45214498?Oem_Code=C1&logpath=1&stext=파이썬&listno=88
279,"금융,공공,일반기업  웹프로그래머및 응용프로그래머 모집",아이비티에스㈜,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45214201?Oem_Code=C1&logpath=1&stext=파이썬&listno=89
280,응용 소프트웨어 개발자 모집(경력),㈜링크나인시스템,대전 유성구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45190202?Oem_Code=C1&logpath=1&stext=파이썬&listno=90
281,[2024 정식채용] Unity/Unreal/AIR 프론트엔드 개발자 모집,지아이웍스,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45115415?Oem_Code=C1&logpath=1&stext=파이썬&listno=91
282,"[더조은컴퓨터아카데미 신촌캠퍼스] AWS 클라우드, 자바 웹 개발&빅데이터(AI) 강사 구인",더조은아카데미신촌지점,서울 마포구,https://www.jobkorea.co.kr/Recruit/GI_Read/45107808?Oem_Code=C1&logpath=1&stext=파이썬&listno=92
283,c++ 소프트웨어 엔진 개발자,포트리스 이노베이션㈜,대전 유성구,https://www.jobkorea.co.kr/Recruit/GI_Read/45091364?Oem_Code=C1&logpath=1&stext=파이썬&listno=93
284,주식회사 이음 개발팀 백엔드/서버 개발자 공개 채용,㈜이음,부산 해운대구,https://www.jobkorea.co.kr/Recruit/GI_Read/45076549?Oem_Code=C1&logpath=1&stext=파이썬&listno=94
285,2024년 연구개발분야 정규직/인턴 직원 채용,㈜디지털조이,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/45035572?Oem_Code=C1&logpath=1&stext=파이썬&listno=95
286,"[펀비어킹] 수퍼 바이저(가맹점/직영점), 온라인마케팅, 점장(직영점), 치킨 메뉴 R&D 총괄",펀앤아이,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45336463?Oem_Code=C1&logpath=1&stext=파이썬&listno=96
287,웹개발 강사 채용,㈜코리아아이티아카데미대전,대전 서구,https://www.jobkorea.co.kr/Recruit/GI_Read/45336827?Oem_Code=C1&logpath=1&stext=파이썬&listno=97
288,펌웨어 개발자,스카이랩스,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45315248?Oem_Code=C1&logpath=1&stext=파이썬&listno=98
289,[광고사업부] 모션 디자이너 채용,매드업,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45257780?Oem_Code=C1&logpath=1&stext=파이썬&listno=99
290,[광고사업부] 글로벌 퍼포먼스 마케터(AE) 채용,매드업,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45257757?Oem_Code=C1&logpath=1&stext=파이썬&listno=100
